Date,ID,Pair,Type,Side,Executed Price,Executed,Total,Fee
2026-04-08 10:15:00,DEMO-82D4C34008,BTC/PHP,LIMIT,BUY,5778285.8099,0.0003792092,2191.17913934,0.00000045505104 BTC
2026-04-13 15:05:00,DEMO-D52962DD31,BTC/PHP,LIMIT,BUY,4729067.0293,0.0004393968,2077.93691965,0.00000052727616 BTC
2026-04-17 10:15:00,DEMO-CD68042B7D,ETH/PHP,LIMIT,BUY,282039.2039,0.00743626,2097.31685039,0.000008923512 ETH
2026-04-17 19:27:00,DEMO-86C5AE0FBD,BTC/PHP,LIMIT,SELL,5007408.4904,0.0002654514,1329.22359414,1.59506831 PHP
2026-04-19 13:41:00,DEMO-853AE419EA,ETH/PHP,LIMIT,BUY,274772.8213,0.00723010,1986.63497528,0.000008676120 ETH
2026-04-24 17:46:00,DEMO-B03E28A116,ETH/PHP,LIMIT,SELL,281677.3839,0.00405524,1142.26939428,1.37072327 PHP
2026-04-26 10:15:00,DEMO-5FACE0A926,XRP/PHP,LIMIT,BUY,188.0422,4.0169,755.34671318,0.00482028 XRP
2026-04-29 13:22:00,DEMO-D89D99DD9F,XRP/PHP,LIMIT,BUY,117.5686,21.5846,2537.67120356,0.02590152 XRP
2026-05-03 17:40:00,DEMO-939137136B,XRP/PHP,LIMIT,SELL,174.5437,13.9860,2441.16818820,2.92940182 PHP
2026-05-05 10:15:00,DEMO-5F959DA352,DOGE/PHP,LIMIT,BUY,11.3293,61.0802,691.99590986,0.07329624 DOGE
2026-05-08 11:46:00,DEMO-E0F41244C8,DOGE/PHP,LIMIT,BUY,7.7512,135.3474,1049.10476688,0.16241688 DOGE
2026-05-12 16:06:00,DEMO-9B3E8F2EB2,DOGE/PHP,LIMIT,SELL,14.6893,101.2904,1487.88507272,1.78546208 PHP
